cpf;id_aluguel;aluguel;devolucao;valor;observacao;placa
211.983.664-78;1;2022-03-17;2022-03-24;560;OK;DEA-7981
258.537.606-02;2;2022-04-02;2022-04-10;960;OK;CBC-4945
726.222.683-51;3;2022-04-18;2022-04-25;770;OK;BEE-7735
226.213.963-64;4;2022-05-04;2022-05-14;1000;OK;CBA-4403
661.025.829-50;5;2022-05-20;2022-05-27;630;OK;BBC-8504
609.983.828-76;6;2022-06-05;2022-06-14;910;Retrovisor direito quebrado;BEB-5885
487.140.614-81;7;2022-06-25;2022-06-30;750;OK;EDB-2475
609.983.828-76;8;2022-07-15;2022-07-22;840;OK;CBC-4945
211.983.664-78;9;2022-08-04;2022-08-08;600;OK;EDB-2475
211.983.664-78;10;2022-08-24;2022-08-30;580;Sem estepe;DEA-7981
487.140.614-81;11;2022-09-13;2022-09-20;700;OK;CBA-4403
258.537.606-02;12;2022-09-16;2022-09-24;720;OK;BBC-8504
228.160.778-02;13;2022-09-19;2022-09-24;550;OK;BEE-7735
908.554.137-94;14;2022-09-22;2022-09-27;550;Bancos sujos;BEB-5885
609.983.828-76;15;2022-09-25;2022-10-05;1000;OK;CBA-4403
735.003.345-12;16;2022-09-28;2022-10-05;770;OK;BEE-7735
211.983.664-78;17;2022-10-01;2022-10-05;360;OK;BBC-8504
487.140.614-81;18;2022-10-04;2022-10-13;1180;Vômito de bebê;CBC-4945
226.213.963-64;19;2022-10-07;2022-10-11;320;OK;DEA-7981
487.140.614-81;20;2022-10-16;2022-10-26;1200;OK;CBC-4945
908.554.137-94;21;2022-10-25;2022-10-30;750;OK;EDB-2475
726.222.683-51;22;2022-11-03;2022-11-13;1000;OK;CBA-4403
228.160.778-02;23;2022-11-12;2022-11-15;270;OK;BEB-5885
908.554.137-94;24;2022-11-21;2022-11-30;810;OK;BBC-8504
726.222.683-51;25;2022-11-30;2022-12-03;240;OK;DEA-7981
211.983.664-78;26;2022-12-09;2022-12-15;720;OK;CBC-4945
