cpf;nome;rua;bairro;cidade;estado;telefone
211.983.664-78;Sara Oliveira;Av. 7 de setembro; Jardim Brasil; Nova Odessa; SP;19-33927-9183,19-58286-2572
258.537.606-02;Queila Martins;Av. Brasil; Parque das Flores; Amparo; SP;19-75396-3952
726.222.683-51;Marcos Silva Oliveira;Praça dos Trabalhadores; Jardim São Paulo; Nova Odessa; SP;19-11094-1727,19-94708-8669
226.213.963-64;Evandro Silva;Rua das Flores; Jardim São Paulo; Americana; SP;19-78957-3905
661.025.829-50;Yago Custódio;Rua das Flores; Parque das Flores; Campinas; SP;19-90518-3260,19-72952-5097
609.983.828-76;Naiara Silva;Rua do açúcar; Parque das Flores; Nova Odessa; SP;19-21480-2555
487.140.614-81;Tatiane Martim;Rua das Flores; Centro; Campinas; SP;19-83868-2612,19-60828-4295
228.160.778-02;Quevin de Souza;Av. 7 de setembro; Jardim Brasil; Americana; SP;19-20124-3304
908.554.137-94;Luciana Neto;Av. Paulista; Parque das Flores; Nova Odessa; SP;19-27082-0233
735.003.345-12;Ursula Oliveira Custódio;Rua Valter Souza; Parque das Flores; Amparo; SP;19-33266-8531
